BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.850736,0.93581,0.00453,1.2516,0.00,-0.37,14.49,3694
2459761.851357,0.92578,0.00428,1.2544,0.59,-0.54,12.14,5424
2459761.851971,0.92517,0.00427,1.2571,-3.49,-0.34,11.55,5484
2459761.852586,0.92830,0.00447,1.2599,2.90,1.11,14.00,3668
2459761.853214,0.92832,0.00447,1.2628,0.82,-0.48,13.12,4209
2459761.853835,0.93010,0.00454,1.2656,-2.49,-1.25,13.51,3731
2459761.854450,0.93966,0.00455,1.2685,-1.25,-0.88,14.22,3957
2459761.855071,0.94435,0.00464,1.2714,-0.23,0.53,14.45,3433
2459761.855685,0.94005,0.00473,1.2743,1.82,0.78,13.20,3763
2459761.856306,0.94689,0.00492,1.2773,0.63,-0.69,13.58,3466
2459761.856919,0.94897,0.00497,1.2803,-1.17,-0.65,13.87,3520
2459761.857540,0.95288,0.00476,1.2833,-1.43,-0.48,13.49,4083
2459761.858154,0.95569,0.00476,1.2863,2.65,1.17,14.17,3535
2459761.858774,0.94912,0.00461,1.2893,0.70,0.18,14.06,3935
2459761.859388,0.95163,0.00448,1.2924,-2.14,-0.67,12.52,4751
2459761.860001,0.95834,0.00473,1.2955,-1.55,0.13,14.30,3726
2459761.860622,0.97377,0.00481,1.2987,2.55,-1.18,14.79,3514
2459761.861236,0.96483,0.00467,1.3019,0.72,0.54,13.44,3549
2459761.861857,0.97240,0.00463,1.3051,-0.51,-0.65,13.45,3873
2459761.862470,0.97608,0.00457,1.3083,0.39,-0.75,13.16,4126
2459761.863091,0.98089,0.00452,1.3116,-2.09,0.39,12.51,4522
2459761.863710,0.98431,0.00461,1.3149,2.04,1.27,13.25,3895
2459761.864323,0.98884,0.00469,1.3182,-0.14,-0.13,14.02,3760
2459761.864943,0.99115,0.00471,1.3216,-0.18,-0.72,13.68,3811
2459761.865563,0.99096,0.00467,1.3250,-1.46,0.77,13.24,4335
2459761.866183,0.99460,0.00469,1.3284,0.01,0.21,13.06,3827
2459761.866797,1.00255,0.00487,1.3319,0.36,0.60,14.42,2971
2459761.867410,1.00883,0.00490,1.3353,-0.05,-1.75,14.77,3268
2459761.868030,1.00761,0.00477,1.3389,-2.07,-1.06,14.51,3559
2459761.868658,1.01137,0.00488,1.3425,-1.51,-0.91,14.78,3015
2459761.869278,1.01229,0.00502,1.3460,2.76,-1.12,15.16,2735
2459761.869891,0.99961,0.00479,1.3497,-0.22,0.09,13.74,3856
2459761.870511,1.01444,0.00491,1.3533,2.04,-4.07,14.74,3275
2459761.871130,1.00813,0.00483,1.3570,-2.42,1.43,13.39,4242
2459761.871750,1.00287,0.00476,1.3607,2.78,0.57,12.78,4378
2459761.872398,1.01285,0.00466,1.3647,1.35,1.17,13.83,4296
2459761.873011,0.99993,0.00446,1.3685,-2.10,-0.77,12.16,5581
2459761.873631,1.00556,0.00456,1.3723,0.05,-3.26,13.78,4736
2459761.874243,1.01614,0.00478,1.3762,-0.50,-0.50,15.15,3159
2459761.874862,1.00780,0.00452,1.3801,2.07,-0.40,12.96,4729
2459761.875482,1.01255,0.00449,1.3840,-0.69,0.13,12.89,4781
2459761.876101,1.00593,0.00454,1.3880,-1.31,-1.20,13.27,4432
2459761.876721,1.01180,0.00449,1.3920,0.38,-2.29,13.81,5074
2459761.877334,1.01109,0.00461,1.3961,2.16,0.19,13.49,4221
2459761.877953,1.01095,0.00462,1.4002,-0.49,0.56,13.61,3993
2459761.878571,1.00422,0.00447,1.4043,-1.61,0.02,13.20,4661
2459761.879191,1.01108,0.00464,1.4085,-1.13,0.69,13.45,4249
2459761.879810,1.02022,0.00486,1.4127,2.17,-0.50,14.63,3623
2459761.880423,1.01146,0.00464,1.4169,-1.61,-0.31,13.20,4133
2459761.881042,1.01408,0.00456,1.4212,-1.12,-0.51,13.77,4671
2459761.881661,1.00914,0.00466,1.4255,-1.09,0.79,13.54,4217
2459761.882273,1.01056,0.00465,1.4299,1.18,0.70,13.30,4344
2459761.882899,1.00367,0.00457,1.4344,2.94,0.40,13.15,4628
2459761.883518,1.00082,0.00441,1.4388,-0.38,0.49,12.18,5519
2459761.884131,1.00470,0.00440,1.4433,0.93,-0.21,11.53,6136
2459761.884749,1.00914,0.00449,1.4479,-1.90,1.02,12.81,5319
2459761.885368,1.00164,0.00448,1.4524,2.13,1.22,13.84,4137
2459761.885987,1.00530,0.00443,1.4571,1.48,1.18,11.15,6707
2459761.886605,1.00908,0.00440,1.4618,-1.68,-1.05,10.80,6858
2459761.887224,1.00622,0.00445,1.4665,-2.80,0.00,12.27,6323
2459761.887836,1.00867,0.00450,1.4712,0.95,-0.05,12.02,5276
2459761.888462,0.99865,0.00444,1.4761,1.54,0.79,11.33,6219
2459761.889073,0.99961,0.00443,1.4809,0.21,-0.28,11.60,5518
2459761.889691,1.00004,0.00445,1.4858,-0.99,0.60,13.13,5039
2459761.890310,0.99277,0.00438,1.4908,0.89,0.16,13.11,5290
2459761.890922,1.00040,0.00447,1.4957,0.80,1.17,12.07,5451
2459761.891540,1.00474,0.00460,1.5008,-1.09,0.06,12.99,4790
2459761.892159,1.00936,0.00448,1.5059,-0.90,0.20,11.62,5668
2459761.892777,1.00132,0.00462,1.5110,-0.30,1.18,13.24,4201
2459761.893394,1.00253,0.00448,1.5162,3.19,1.09,11.00,5931
2459761.894042,1.01500,0.00455,1.5217,0.64,0.42,12.77,5344
2459761.894653,1.01652,0.00471,1.5270,-2.18,-0.56,12.54,4334
2459761.895271,1.00894,0.00469,1.5323,-1.45,0.88,12.96,4682
2459761.895889,1.01176,0.00467,1.5377,3.69,-0.58,13.34,4830
2459761.896507,1.00788,0.00461,1.5432,0.31,-0.50,13.27,4897
2459761.897125,1.01762,0.00467,1.5487,-1.10,-1.10,13.14,5077
2459761.897744,1.00173,0.00465,1.5543,-0.86,0.38,12.91,4300
2459761.898375,1.01163,0.00461,1.5601,2.03,1.01,12.58,4920
2459761.899014,1.02387,0.00487,1.5659,2.50,-1.35,14.28,3837
2459761.899632,0.99964,0.00464,1.5717,-1.48,0.19,13.48,4200
2459761.900250,1.00235,0.00461,1.5775,-0.48,1.41,13.20,4300
2459761.900867,1.00745,0.00471,1.5834,-0.71,-0.16,13.07,4421
2459761.901485,1.00215,0.00459,1.5893,3.14,1.52,12.67,4651
2459761.902102,0.99791,0.00461,1.5953,-0.47,0.36,11.94,4992
2459761.902720,1.00006,0.00460,1.6013,-0.82,1.07,11.86,5637
2459761.903337,1.00272,0.00471,1.6074,-0.81,0.07,12.64,4476
2459761.903955,1.01183,0.00459,1.6136,2.95,0.36,12.19,5243
2459761.904573,1.00515,0.00451,1.6198,1.21,1.15,10.25,6419
2459761.905190,1.00586,0.00466,1.6261,-1.14,-0.38,12.52,4884
2459761.905807,1.00499,0.00456,1.6324,-0.36,1.13,11.68,5800
2459761.906418,1.00593,0.00456,1.6388,1.73,0.96,11.56,4877
2459761.907035,1.00895,0.00470,1.6453,-0.45,1.58,12.12,4858
2459761.907652,1.00402,0.00466,1.6518,0.19,0.20,13.13,4546
2459761.908268,1.01145,0.00478,1.6584,-1.82,0.14,13.16,4522
2459761.908885,0.99959,0.00466,1.6651,1.26,2.89,13.47,4647
2459761.909503,1.00372,0.00475,1.6719,3.56,-0.06,13.05,4486
2459761.910121,1.00702,0.00464,1.6787,1.51,-0.03,12.17,5317
2459761.910739,1.00640,0.00469,1.6856,-1.17,0.58,12.35,4963
2459761.911356,1.00243,0.00468,1.6926,-0.27,1.15,13.16,4728
2459761.911974,1.00266,0.00468,1.6996,3.96,-0.41,12.73,4991
2459761.912591,1.00062,0.00479,1.7067,0.92,1.28,12.86,4494
2459761.913207,1.00522,0.00476,1.7139,-2.20,-0.56,12.27,4970
2459761.913824,1.00552,0.00493,1.7212,-0.92,1.65,12.60,4279
2459761.914440,1.00531,0.00489,1.7286,3.31,1.23,13.03,4214
2459761.915057,1.00916,0.00493,1.7360,1.80,0.35,12.11,5393
