BJD_TDB,Flux,Err,Airmass,DX(pix),DY(pix),FWHM(pix),Peak(ADU)
2459761.864958,1.00460,0.00715,1.3217,1.31,-1.34,9.84,1913
2459761.865368,1.00254,0.00707,1.3240,-0.87,-0.01,9.14,1788
2459761.865774,0.99207,0.00688,1.3262,-1.42,0.20,9.52,1959
2459761.866191,0.99388,0.00663,1.3285,3.04,0.69,8.85,2237
2459761.866600,1.00000,0.00716,1.3308,1.82,0.60,10.82,1785
2459761.867006,0.99954,0.00768,1.3331,-0.96,1.15,11.78,1456
2459761.867423,0.99909,0.00741,1.3355,1.74,-1.05,10.98,1672
2459761.867825,0.99278,0.00739,1.3378,-2.82,0.01,11.72,1576
2459761.868245,1.00869,0.00713,1.3401,-0.61,-0.78,10.45,1871
2459761.868674,1.00578,0.00755,1.3426,-1.81,0.01,11.77,1463
2459761.869080,1.00950,0.00797,1.3450,5.41,0.21,12.58,1411
2459761.869489,1.00595,0.00696,1.3474,0.27,-0.11,10.65,1881
2459761.869906,1.00838,0.00761,1.3499,0.33,0.52,10.41,1599
2459761.870324,0.99962,0.00668,1.3523,1.90,-4.95,8.72,2188
2459761.870752,1.01416,0.00748,1.3549,0.99,0.37,10.50,1758
2459761.871161,1.00976,0.00710,1.3573,-3.31,1.13,9.67,2248
2459761.871568,1.00635,0.00690,1.3598,3.15,-0.32,8.61,2302
2459761.871985,1.00428,0.00706,1.3623,2.45,1.27,9.80,2001
2459761.872391,1.01435,0.00720,1.3648,2.17,0.58,10.52,1840
2459761.872796,1.00378,0.00644,1.3673,0.24,-2.33,7.31,2730
2459761.873214,1.00998,0.00662,1.3698,-0.06,-1.75,8.44,2270
2459761.873620,1.00681,0.00643,1.3724,-0.15,-0.15,8.82,2376
2459761.874034,1.01272,0.00694,1.3749,-3.31,0.89,10.26,1981
2459761.874439,1.01612,0.00707,1.3775,1.59,0.59,10.47,1860
2459761.874857,1.00474,0.00656,1.3801,1.38,0.54,8.53,2237
2459761.875262,1.01604,0.00662,1.3827,0.40,0.37,8.93,2349
2459761.875668,1.00997,0.00661,1.3854,-0.75,-2.18,9.35,2202
2459761.876085,0.99795,0.00673,1.3880,-1.02,-0.76,10.00,2073
2459761.876491,1.01149,0.00650,1.3906,-0.50,1.21,7.92,2491
2459761.876908,1.00665,0.00662,1.3933,0.96,0.97,9.96,2024
2459761.877314,1.00937,0.00673,1.3960,3.93,-0.61,8.98,2152
2459761.877730,0.99377,0.00651,1.3988,-0.09,0.91,9.04,2231
2459761.878138,0.99856,0.00686,1.4015,1.01,-0.83,9.81,1892
2459761.878554,0.99692,0.00655,1.4043,-2.33,-0.37,9.26,2193
2459761.878964,1.01754,0.00678,1.4070,-0.38,-0.52,9.72,1992
2459761.879369,1.00361,0.00697,1.4098,-1.56,1.64,9.97,2006
2459761.879780,1.01377,0.00708,1.4126,2.33,0.68,10.56,1862
2459761.880187,1.01374,0.00673,1.4154,-0.64,-0.44,9.90,2075
2459761.880639,1.01719,0.00673,1.4185,-0.07,0.01,9.12,2083
2459761.881045,1.01116,0.00661,1.4214,-0.61,-0.79,8.85,2054
2459761.881463,1.01464,0.00701,1.4243,-1.95,1.77,10.43,2032
2459761.881880,1.00315,0.00665,1.4272,0.40,0.32,8.44,2136
2459761.882286,1.01581,0.00703,1.4301,1.61,-0.34,9.11,1924
2459761.882698,1.01240,0.00673,1.4330,2.91,0.61,8.98,2110
2459761.883116,1.00330,0.00659,1.4360,1.92,0.13,8.57,2372
2459761.883522,1.00574,0.00629,1.4390,-0.49,-0.07,8.61,2472
2459761.883928,1.00264,0.00636,1.4420,-0.44,-1.18,8.22,2643
2459761.884346,1.00848,0.00623,1.4450,1.19,-0.81,7.55,2995
2459761.884755,1.01634,0.00629,1.4480,-2.49,1.44,7.47,2972
2459761.885161,1.00413,0.00622,1.4510,4.31,0.08,7.98,2761
2459761.885567,1.01466,0.00651,1.4541,-0.23,0.59,8.76,2677
2459761.885985,1.00972,0.00635,1.4572,2.87,0.53,7.66,2880
2459761.886391,1.00206,0.00622,1.4603,-1.60,-1.33,6.89,3378
2459761.886810,1.02315,0.00613,1.4634,-0.20,-0.41,7.02,3468
2459761.887215,1.01512,0.00640,1.4665,-1.15,1.61,8.55,2640
2459761.887621,1.00747,0.00651,1.4697,0.73,-0.72,8.67,2469
2459761.888038,1.01408,0.00646,1.4729,2.85,-1.31,8.21,2664
2459761.888447,1.00118,0.00630,1.4761,1.67,-0.11,8.09,2812
2459761.888854,1.01699,0.00611,1.4793,0.78,-1.72,7.12,3330
2459761.889264,1.01417,0.00644,1.4825,-1.75,0.00,8.42,2557
2459761.889670,1.00614,0.00632,1.4858,-0.17,-0.12,7.73,2646
2459761.890088,1.00772,0.00607,1.4891,-0.79,1.94,6.64,3577
2459761.890494,1.00655,0.00636,1.4924,2.86,-0.56,8.89,2715
2459761.890911,1.00503,0.00638,1.4957,0.05,0.72,8.15,2808
2459761.891317,1.00566,0.00645,1.4991,0.11,0.73,8.86,2554
2459761.891734,0.99726,0.00673,1.5025,-1.81,-1.32,9.33,2354
2459761.892141,1.00641,0.00634,1.5059,-0.94,0.20,7.55,2709
2459761.892559,0.99695,0.00662,1.5093,0.49,-0.09,9.00,2161
2459761.892965,1.00483,0.00663,1.5128,1.73,1.39,9.18,2293
2459761.893381,0.99079,0.00638,1.5162,3.60,0.21,8.51,2773
2459761.893786,1.00742,0.00632,1.5197,0.09,0.34,7.44,2877
2459761.894192,1.01541,0.00690,1.5232,0.16,-0.40,10.06,2009
2459761.894609,1.02027,0.00705,1.5267,-2.23,-0.68,9.95,1912
2459761.895016,1.00805,0.00664,1.5303,1.15,1.46,8.93,2334
2459761.895434,1.01302,0.00675,1.5338,-0.61,-0.34,8.87,2312
2459761.895840,1.01384,0.00657,1.5375,4.38,0.06,8.68,2645
2459761.896245,1.01137,0.00675,1.5411,1.81,-1.26,8.90,2053
2459761.896658,1.01071,0.00654,1.5447,0.18,0.81,8.63,2449
2459761.897075,1.01170,0.00658,1.5484,-0.40,-1.11,8.43,2467
2459761.897481,1.01632,0.00688,1.5521,-0.35,-0.73,9.73,2101
2459761.897899,1.00250,0.00695,1.5558,-0.29,0.06,9.72,2091
2459761.898340,1.00457,0.00654,1.5599,1.44,1.25,8.86,2398
2459761.898746,1.00329,0.00704,1.5636,4.13,0.29,10.33,1907
2459761.899164,1.00396,0.00680,1.5674,1.08,0.10,9.23,1970
2459761.899569,1.00250,0.00671,1.5713,-0.04,-0.30,9.28,2145
2459761.899976,1.01310,0.00679,1.5751,-1.73,-1.24,9.55,2042
2459761.900386,1.00269,0.00671,1.5789,1.62,1.00,8.74,2300
2459761.900804,0.99797,0.00681,1.5828,-1.28,-0.05,9.35,2349
2459761.901209,1.00984,0.00689,1.5868,5.00,0.52,10.44,2067
2459761.901615,1.01150,0.00652,1.5907,2.28,1.05,8.09,2804
2459761.902032,0.99774,0.00673,1.5947,-0.91,-0.69,9.90,2165
2459761.902438,1.00715,0.00643,1.5987,0.10,-0.06,8.61,2682
2459761.902844,0.99864,0.00664,1.6027,0.25,0.36,7.99,2483
2459761.903282,0.99567,0.00653,1.6070,-1.51,-0.01,9.52,2246
2459761.903695,1.00898,0.00655,1.6111,4.92,0.94,8.26,2328
2459761.904101,1.00914,0.00658,1.6152,3.04,-0.13,8.19,2597
2459761.904519,0.99874,0.00632,1.6194,0.63,-0.10,7.50,3116
2459761.904926,0.99960,0.00670,1.6235,-0.25,-0.55,8.98,2206
2459761.905331,1.00644,0.00659,1.6277,-1.30,0.27,7.46,2790
2459761.905749,1.00105,0.00669,1.6320,0.13,-0.00,8.72,2407
2459761.906154,1.00172,0.00647,1.6362,1.14,0.31,7.48,2987
2459761.906572,1.01259,0.00662,1.6406,3.48,0.28,8.80,2815
2459761.906989,1.00700,0.00678,1.6449,-0.13,1.15,9.19,2201
2459761.907395,0.99530,0.00648,1.6493,1.24,0.72,8.30,2611
2459761.907812,1.00122,0.00658,1.6537,-0.66,-0.72,8.82,2359
